timestamp,x_px,y_px,z_mm,point_id,sequence_id
1748586613.2558103,413,332,540.0,P1,5
1748586613.28728,412,330,538.0,P1,5
1748586613.3204134,413,329,537.0,P1,5
1748586613.3522513,417,324,531.0,P1,5
1748586613.3928494,420,316,529.0,P1,5
1748586613.415695,422,306,516.0,P1,5
1748586613.4929583,425,282,579.0,P1,5
1748586613.5143259,426,265,596.0,P1,5
1748586613.5617118,428,247,613.0,P1,5
1748586613.5932746,430,226,632.0,P1,5
1748586613.6248634,434,201,658.0,P1,5
1748586613.6566527,439,172,703.0,P1,5
1748586613.6879272,446,144,816.0,P1,5
1748586613.7214813,451,113,757.0,P1,5
1748586613.753186,454,81,721.0,P1,5
1748586615.8946927,497,129,1032.0,P1,6
1748586615.926569,487,167,710.0,P1,6
1748586615.9608405,476,193,684.0,P1,6
1748586615.9788988,467,219,458.0,P1,6
1748586616.0275483,457,242,470.0,P1,6
1748586616.0465689,450,259,481.0,P1,6
1748586616.0938303,442,276,488.0,P1,6
1748586616.1257505,435,287,500.0,P1,6
1748586616.1577606,430,298,507.0,P1,6
1748586616.1893523,424,307,514.0,P1,6
1748586616.2207215,421,315,520.0,P1,6
1748586616.252639,419,319,525.0,P1,6
1748586616.2936435,417,323,533.0,P1,6
1748586616.3161657,415,327,536.0,P1,6
1748586616.364826,415,328,538.0,P1,6
1748586616.3805232,414,328,537.0,P1,6
1748586616.41345,413,328,539.0,P1,6
1748586616.4613333,413,329,539.0,P1,6
1748586616.492947,411,330,539.0,P1,6
1748586616.5246332,412,330,541.0,P1,6
1748586616.55887,412,330,541.0,P1,6
1748586616.5903585,412,330,541.0,P1,6
1748586616.6222456,412,330,540.0,P1,6
1748586616.6536727,412,329,542.0,P1,6
1748586616.6945083,412,329,543.0,P1,6
1748586616.719316,412,329,541.0,P1,6
1748586616.7511146,411,329,540.0,P1,6
1748586616.7825453,411,329,542.0,P1,6
1748586616.8250368,411,329,541.0,P1,6
1748586616.8619347,411,329,541.0,P1,6
1748586616.8936563,411,329,542.0,P1,6
1748586616.9275305,411,328,543.0,P1,6
1748586616.9575639,411,328,542.0,P1,6
1748586616.9904482,411,328,542.0,P1,6
1748586617.0222218,411,328,542.0,P1,6
1748586617.0607562,411,328,541.0,P1,6
1748586617.0883834,411,329,542.0,P1,6
1748586617.1199296,411,328,542.0,P1,6
1748586617.1513522,411,328,542.0,P1,6
1748586617.194614,412,329,541.0,P1,6
1748586617.2154365,412,328,541.0,P1,6
1748586617.2473133,412,329,542.0,P1,6
1748586617.29525,411,329,541.0,P1,6
1748586617.3283262,411,329,541.0,P1,6
1748586617.3615534,411,329,541.0,P1,6
1748586617.400559,412,329,541.0,P1,6
1748586617.4280763,412,329,541.0,P1,6
1748586617.4630978,412,330,541.0,P1,6
1748586617.4940968,412,330,541.0,P1,6
1748586617.5301793,412,330,540.0,P1,6
1748586617.564367,413,329,539.0,P1,6
