timestamp,x_px,y_px,z_mm,point_id,sequence_id
1751004643.8630157,492,259,463.0,P1,5
1751004643.8883111,476,282,475.0,P1,5
1751004643.921505,461,299,488.0,P1,5
1751004643.9551842,448,313,497.0,P1,5
1751004643.9886305,439,326,503.0,P1,5
1751004644.0277328,433,336,510.0,P1,5
1751004644.0552049,430,344,515.0,P1,5
1751004644.0886874,429,351,519.0,P1,5
1751004644.122016,429,357,525.0,P1,5
1751004644.1550906,427,359,526.0,P1,5
1751004644.1944702,425,363,529.0,P1,5
1751004644.2220278,425,364,531.0,P1,5
1751004644.2632535,425,364,530.0,P1,5
1751004644.288455,425,364,528.0,P1,5
1751004644.3299172,425,364,530.0,P1,5
1751004644.3555863,424,363,531.0,P1,5
1751004644.388565,424,363,531.0,P1,5
1751004644.4270415,425,363,530.0,P1,5
1751004644.4558568,424,363,531.0,P1,5
1751004644.4886103,424,362,530.0,P1,5
1751004644.5223272,424,362,529.0,P1,5
1751004644.5649428,424,362,529.0,P1,5
1751004644.588789,424,362,531.0,P1,5
1751004644.635794,424,362,532.0,P1,5
1751004644.6651464,423,363,531.0,P1,5
1751004644.6880329,423,363,532.0,P1,5
1751004644.7153897,422,363,531.0,P1,5
1751004644.751509,423,361,531.0,P1,5
1751004644.7878966,425,358,524.0,P1,5
1751004644.8149755,426,350,518.0,P1,5
1751004644.8626773,431,338,518.0,P1,5
1751004644.9274156,438,307,479.0,P1,5
1751004644.9917474,444,270,615.0,P1,5
1751004645.0553722,448,231,646.0,P1,5
1751004645.0884151,449,211,676.0,P1,5
1751004645.11921,451,191,714.0,P1,5
1751004645.1511128,453,171,790.0,P1,5
1751004645.18849,454,149,755.0,P1,5
1751004645.221898,459,128,756.0,P1,5
1751004645.261218,462,102,745.0,P1,5
1751004645.2884474,464,70,724.0,P1,5
1751004646.3402147,541,86,708.0,P1,6
1751004646.3573728,529,139,736.0,P1,6
1751004646.3948905,520,180,808.0,P1,6
1751004646.4302568,506,218,690.0,P1,6
1751004646.457443,493,253,644.0,P1,6
1751004646.4908328,481,280,612.0,P1,6
1751004646.5242774,471,301,594.0,P1,6
1751004646.5575716,460,318,498.0,P1,6
1751004646.5930996,452,331,506.0,P1,6
1751004646.6248438,447,338,513.0,P1,6
1751004646.6661296,442,345,519.0,P1,6
1751004646.6910276,437,350,525.0,P1,6
1751004646.7250772,434,354,530.0,P1,6
1751004646.7578926,431,356,533.0,P1,6
1751004646.7912884,427,359,537.0,P1,6
1751004646.8246002,426,360,535.0,P1,6
1751004646.857895,425,361,535.0,P1,6
1751004646.891359,425,361,535.0,P1,6
1751004646.924646,425,361,536.0,P1,6
1751004646.9581115,425,361,534.0,P1,6
1751004646.998403,425,361,533.0,P1,6
1751004647.0303721,425,363,531.0,P1,6
1751004647.0586114,425,365,532.0,P1,6
1751004647.1011343,425,365,532.0,P1,6
1751004647.1238494,424,364,531.0,P1,6
1751004647.1533568,424,364,532.0,P1,6
1751004647.1915,424,364,531.0,P1,6
1751004647.2171404,425,364,532.0,P1,6
1751004647.265288,425,364,531.0,P1,6
1751004647.2970765,425,364,533.0,P1,6
1751004647.32496,424,363,533.0,P1,6
1751004647.3633797,426,359,528.0,P1,6
1751004647.3953032,429,350,520.0,P1,6
1751004647.4269283,433,339,520.0,P1,6
1751004647.5225937,447,284,601.0,P1,6
1751004647.5543814,452,259,622.0,P1,6
1751004647.591883,459,232,652.0,P1,6
1751004647.634937,464,203,689.0,P1,6
1751004647.666883,469,173,793.0,P1,6
1751004647.698393,476,139,751.0,P1,6
1751004647.7304854,481,107,731.0,P1,6
1751004647.7623487,488,75,720.0,P1,6
1751004647.7940502,496,44,699.0,P1,6
1751004648.7275276,505,5,672.0,P1,7
