timestamp,x_px,y_px,z_mm,point_id,sequence_id
1751004639.8185842,423,373,526,P1,3
1751004639.8501801,423,371,528,P1,3
1751004639.8934197,424,370,529,P1,3
1751004639.9169223,426,368,531,P1,3
1751004639.950352,427,365,531,P1,3
1751004639.9836726,427,364,532,P1,3
1751004640.0277767,427,364,533,P1,3
1751004640.050439,427,364,532,P1,3
1751004640.084742,427,363,534,P1,3
1751004640.1174781,427,363,534,P1,3
1751004640.1600354,427,363,533,P1,3
1751004640.1962957,427,363,534,P1,3
1751004640.218133,426,363,533,P1,3
1751004640.2523901,426,363,533,P1,3
1751004640.293467,426,363,534,P1,3
1751004640.3153505,426,362,533,P1,3
1751004640.3470366,429,359,527,P1,3
1751004640.3842957,433,351,519,P1,3
1751004640.4264243,439,336,533,P1,3
1751004640.4581454,446,315,575,P1,3
1751004640.4895759,455,289,600,P1,3
1751004640.5211062,464,257,632,P1,3
1751004640.5544236,476,219,682,P1,3
1751004640.5860777,488,174,797,P1,3
1751004640.6180463,500,119,738,P1,3
1751004641.5693026,580,38,677,P1,4
1751004641.5854537,561,99,706,P1,4
1751004641.6187658,547,159,766,P1,4
1751004641.654898,527,205,715,P1,4
1751004641.689162,506,250,649,P1,4
1751004641.7192478,485,285,608,P1,4
1751004641.752936,466,314,497,P1,4
1751004641.7857285,453,332,511,P1,4
1751004641.8191836,446,344,518,P1,4
1751004641.8523707,440,353,522,P1,4
1751004641.8947732,435,358,527,P1,4
1751004641.9192517,432,362,528,P1,4
1751004642,428,365,531,P1,4
1751004641.9864416,427,365,531,P1,4
1751004642.030344,426,365,531,P1,4
1751004642.0603437,426,365,531,P1,4
1751004642.0998683,426,365,531,P1,4
1751004642.1288693,426,365,531,P1,4
1751004642.162877,426,365,530,P1,4
1751004642.1940992,426,365,531,P1,4
1751004642.2330992,426,365,532,P1,4
1751004642.2620993,426,365,531,P1,4
1751004642.2873564,427,365,531,P1,4
1751004642.3214912,426,365,533,P1,4
1751004642.3624787,427,365,527,P1,4
1751004642.3860557,430,362,526,P1,4
1751004642.4184072,432,356,524,P1,4
1751004642.4639962,436,348,521,P1,4
1751004642.4858959,440,337,537,P1,4
1751004642.5278103,444,320,562,P1,4
1751004642.5609093,449,302,578,P1,4
1751004642.5930421,456,278,604,P1,4
1751004642.6244698,465,248,636,P1,4
1751004642.6559649,473,215,682,P1,4
1751004642.6876667,483,175,798,P1,4
1751004642.723256,496,126,745,P1,4
1751004643.773695,558,142,747,P1,5
1751004644,499,167,434,P1,5
1751004643.8216856,508,229,679,P1,5
1751004643.8630157,492,259,463,P1,5
